Year,State,Communicable diseases,Number,Rate
2013,Johor,Cholera,,
2013,Johor,Dengue fever,4750,136.6
2013,Johor,Dengue haemorrhagic fever,78,2.24
2013,Johor,Dysentry ,1,0.03
2013,Johor,Food poisoning,1447,41.61
2013,Johor,Hepatitis A,2,0.06
2013,Johor,Hepatitis B,168,4.83
2013,Johor,Hepatitis C,150,4.31
2013,Johor,Leprosy,12,0.35
2013,Johor,Measles,9,0.26
2013,Johor,Neonatal Tetanus ,,
2013,Johor,Other Specified Viral,,
2013,Johor,Other Tetanus,,
2013,Johor,Tuberculosis,2163,62.21
2013,Johor,Typhoid,15,0.43
2013,Johor,Viral encephalitis,,
2013,Johor,Whooping cough,4,0.12
2013,Kedah,Cholera,,
2013,Kedah,Dengue fever,808,39.98
2013,Kedah,Dengue haemorrhagic fever,5,0.25
2013,Kedah,Dysentry ,8,0.4
2013,Kedah,Food poisoning,1115,55.17
2013,Kedah,Hepatitis A,1,0.05
2013,Kedah,Hepatitis B,81,4.01
2013,Kedah,Hepatitis C,261,12.91
2013,Kedah,Leprosy,10,0.49
2013,Kedah,Measles,4,0.2
2013,Kedah,Neonatal Tetanus ,,
2013,Kedah,Other Specified Viral,,
2013,Kedah,Other Tetanus,8,0.4
2013,Kedah,Tuberculosis,1142,56.5
2013,Kedah,Typhoid,6,0.3
2013,Kedah,Viral encephalitis,,
2013,Kedah,Whooping cough,35,1.73
2013,Kelantan,Cholera,1,0.06
2013,Kelantan,Dengue fever,1411,84.7
2013,Kelantan,Dengue haemorrhagic fever,16,0.96
2013,Kelantan,Dysentry ,3,0.18
2013,Kelantan,Food poisoning,1137,68.25
2013,Kelantan,Hepatitis A,3,0.18
2013,Kelantan,Hepatitis B,129,7.74
2013,Kelantan,Hepatitis C,200,12.01
2013,Kelantan,Leprosy,10,0.6
2013,Kelantan,Measles,45,2.7
2013,Kelantan,Neonatal Tetanus ,,
2013,Kelantan,Other Specified Viral,14,0.84
2013,Kelantan,Other Tetanus,1,0.06
2013,Kelantan,Tuberculosis,1382,82.96
2013,Kelantan,Typhoid,42,2.52
2013,Kelantan,Viral encephalitis,,
2013,Kelantan,Whooping cough,12,0.72
2013,Malaysia,Cholera,171,0.58
2013,Malaysia,Dengue fever,42572,143.27
2013,Malaysia,Dengue haemorrhagic fever,774,2.6
2013,Malaysia,Dysentry ,83,0.28
2013,Malaysia,Food poisoning,14202,47.79
2013,Malaysia,Hepatitis A,121,0.41
2013,Malaysia,Hepatitis B,3421,11.51
2013,Malaysia,Hepatitis C,2011,6.77
2013,Malaysia,Leprosy,306,1.03
2013,Malaysia,Measles,195,0.66
2013,Malaysia,Neonatal Tetanus ,6,0.01
2013,Malaysia,Other Specified Viral,171,0.58
2013,Malaysia,Other Tetanus,26,0.09
2013,Malaysia,Tuberculosis,23262,78.28
2013,Malaysia,Typhoid,218,0.73
2013,Malaysia,Viral encephalitis,16,0.05
2013,Malaysia,Whooping cough,222,0.75
2013,Melaka,Cholera,,
2013,Melaka,Dengue fever,1423,166.94
2013,Melaka,Dengue haemorrhagic fever,82,9.62
2013,Melaka,Dysentry ,,
2013,Melaka,Food poisoning,705,82.71
2013,Melaka,Hepatitis A,2,0.23
2013,Melaka,Hepatitis B,145,17.01
2013,Melaka,Hepatitis C,305,35.78
2013,Melaka,Leprosy,5,0.59
2013,Melaka,Measles,4,0.47
2013,Melaka,Neonatal Tetanus ,,
2013,Melaka,Other Specified Viral,,
2013,Melaka,Other Tetanus,,
2013,Melaka,Tuberculosis,541,63.47
2013,Melaka,Typhoid,,
2013,Melaka,Viral encephalitis,,
2013,Melaka,Whooping cough,6,0.7
2013,Negeri Sembilan,Cholera,,
2013,Negeri Sembilan,Dengue fever,1193,111.48
2013,Negeri Sembilan,Dengue haemorrhagic fever,5,0.47
2013,Negeri Sembilan,Dysentry ,,
2013,Negeri Sembilan,Food poisoning,450,42.05
2013,Negeri Sembilan,Hepatitis A,1,0.09
2013,Negeri Sembilan,Hepatitis B,60,5.61
2013,Negeri Sembilan,Hepatitis C,64,5.98
2013,Negeri Sembilan,Leprosy,6,0.56
2013,Negeri Sembilan,Measles,1,0.09
2013,Negeri Sembilan,Neonatal Tetanus ,,
2013,Negeri Sembilan,Other Specified Viral,2,0.19
2013,Negeri Sembilan,Other Tetanus,2,0.19
2013,Negeri Sembilan,Tuberculosis,553,51.68
2013,Negeri Sembilan,Typhoid,6,0.56
2013,Negeri Sembilan,Viral encephalitis,,
2013,Negeri Sembilan,Whooping cough,5,0.47
2013,Pahang,Cholera,,
2013,Pahang,Dengue fever,721,45.84
2013,Pahang,Dengue haemorrhagic fever,4,0.25
2013,Pahang,Dysentry ,7,0.45
2013,Pahang,Food poisoning,501,31.86
2013,Pahang,Hepatitis A,6,0.38
2013,Pahang,Hepatitis B,323,20.54
2013,Pahang,Hepatitis C,253,16.09
2013,Pahang,Leprosy,19,1.21
2013,Pahang,Measles,,
2013,Pahang,Neonatal Tetanus ,,
2013,Pahang,Other Specified Viral,,
2013,Pahang,Other Tetanus,1,0.06
2013,Pahang,Tuberculosis,867,55.13
2013,Pahang,Typhoid,4,0.25
2013,Pahang,Viral encephalitis,,
2013,Pahang,Whooping cough,12,0.76
2013,Perak,Cholera,,
2013,Perak,Dengue fever,2501,102.65
2013,Perak,Dengue haemorrhagic fever,18,0.74
2013,Perak,Dysentry ,4,0.16
2013,Perak,Food poisoning,1746,71.66
2013,Perak,Hepatitis A,63,2.59
2013,Perak,Hepatitis B,76,3.12
2013,Perak,Hepatitis C,107,4.39
2013,Perak,Leprosy,19,0.78
2013,Perak,Measles,6,0.25
2013,Perak,Neonatal Tetanus ,,
2013,Perak,Other Specified Viral,4,0.16
2013,Perak,Other Tetanus,,
2013,Perak,Tuberculosis,1548,63.54
2013,Perak,Typhoid,6,0.25
2013,Perak,Viral encephalitis,,
2013,Perak,Whooping cough,8,0.33
2013,Perlis,Cholera,,
2013,Perlis,Dengue fever,223,92.38
2013,Perlis,Dengue haemorrhagic fever,3,1.24
2013,Perlis,Dysentry ,5,2.07
2013,Perlis,Food poisoning,182,75.39
2013,Perlis,Hepatitis A,,
2013,Perlis,Hepatitis B,13,5.39
2013,Perlis,Hepatitis C,94,38.94
2013,Perlis,Leprosy,,
2013,Perlis,Measles,1,0.41
2013,Perlis,Neonatal Tetanus ,,
2013,Perlis,Other Specified Viral,,
2013,Perlis,Other Tetanus,,
2013,Perlis,Tuberculosis,155,64.21
2013,Perlis,Typhoid,3,1.24
2013,Perlis,Viral encephalitis,,
2013,Perlis,Whooping cough,8,3.31
2013,Pulau Pinang,Cholera,,
2013,Pulau Pinang,Dengue fever,1009,61.96
2013,Pulau Pinang,Dengue haemorrhagic fever,44,2.7
2013,Pulau Pinang,Dysentry ,1,0.06
2013,Pulau Pinang,Food poisoning,556,34.14
2013,Pulau Pinang,Hepatitis A,,
2013,Pulau Pinang,Hepatitis B,22,1.35
2013,Pulau Pinang,Hepatitis C,44,2.7
2013,Pulau Pinang,Leprosy,5,0.31
2013,Pulau Pinang,Measles,1,0.06
2013,Pulau Pinang,Neonatal Tetanus ,1,0.05
2013,Pulau Pinang,Other Specified Viral,,
2013,Pulau Pinang,Other Tetanus,,
2013,Pulau Pinang,Tuberculosis,1254,77.01
2013,Pulau Pinang,Typhoid,9,0.55
2013,Pulau Pinang,Viral encephalitis,4,0.25
2013,Pulau Pinang,Whooping cough,6,0.37
2013,Sabah,Cholera,166,4.84
2013,Sabah,Dengue fever,699,20.39
2013,Sabah,Dengue haemorrhagic fever,25,0.73
2013,Sabah,Dysentry ,5,0.15
2013,Sabah,Food poisoning,2044,59.63
2013,Sabah,Hepatitis A,22,0.64
2013,Sabah,Hepatitis B,1346,39.26
2013,Sabah,Hepatitis C,46,1.34
2013,Sabah,Leprosy,107,3.12
2013,Sabah,Measles,3,0.09
2013,Sabah,Neonatal Tetanus ,4,0.07
2013,Sabah,Other Specified Viral,134,3.91
2013,Sabah,Other Tetanus,8,0.23
2013,Sabah,Tuberculosis,4456,129.99
2013,Sabah,Typhoid,54,1.58
2013,Sabah,Viral encephalitis,2,0.06
2013,Sabah,Whooping cough,9,0.26
2013,Sarawak,Cholera,,
2013,Sarawak,Dengue fever,1275,49.5
2013,Sarawak,Dengue haemorrhagic fever,17,0.66
2013,Sarawak,Dysentry ,14,0.54
2013,Sarawak,Food poisoning,1141,44.3
2013,Sarawak,Hepatitis A,2,0.08
2013,Sarawak,Hepatitis B,166,6.45
2013,Sarawak,Hepatitis C,90,3.49
2013,Sarawak,Leprosy,41,1.59
2013,Sarawak,Measles,11,0.43
2013,Sarawak,Neonatal Tetanus ,,
2013,Sarawak,Other Specified Viral,4,0.16
2013,Sarawak,Other Tetanus,4,0.16
2013,Sarawak,Tuberculosis,2604,101.11
2013,Sarawak,Typhoid,15,0.58
2013,Sarawak,Viral encephalitis,8,0.31
2013,Sarawak,Whooping cough,31,1.2
2013,Selangor,Cholera,1,0.02
2013,Selangor,Dengue fever,23512,410.67
2013,Selangor,Dengue haemorrhagic fever,340,5.94
2013,Selangor,Dysentry ,25,0.44
2013,Selangor,Food poisoning,2150,37.55
2013,Selangor,Hepatitis A,14,0.24
2013,Selangor,Hepatitis B,578,10.1
2013,Selangor,Hepatitis C,182,3.18
2013,Selangor,Leprosy,48,0.84
2013,Selangor,Measles,83,1.45
2013,Selangor,Neonatal Tetanus ,,
2013,Selangor,Other Specified Viral,5,0.09
2013,Selangor,Other Tetanus,1,0.02
2013,Selangor,Tuberculosis,4016,70.14
2013,Selangor,Typhoid,45,0.79
2013,Selangor,Viral encephalitis,,
2013,Selangor,Whooping cough,48,0.84
2013,Terengganu,Cholera,,
2013,Terengganu,Dengue fever,546,49.08
2013,Terengganu,Dengue haemorrhagic fever,54,4.85
2013,Terengganu,Dysentry ,3,0.27
2013,Terengganu,Food poisoning,582,52.31
2013,Terengganu,Hepatitis A,,
2013,Terengganu,Hepatitis B,66,5.93
2013,Terengganu,Hepatitis C,153,13.75
2013,Terengganu,Leprosy,6,0.54
2013,Terengganu,Measles,5,0.45
2013,Terengganu,Neonatal Tetanus ,,
2013,Terengganu,Other Specified Viral,1,0.09
2013,Terengganu,Other Tetanus,,
2013,Terengganu,Tuberculosis,733,65.89
2013,Terengganu,Typhoid,2,0.18
2013,Terengganu,Viral encephalitis,2,0.18
2013,Terengganu,Whooping cough,29,2.61
2013,W.P. Kuala Lumpur,Cholera,3,0.17
2013,W.P. Kuala Lumpur,Dengue fever,2489,137.17
2013,W.P. Kuala Lumpur,Dengue haemorrhagic fever,81,4.46
2013,W.P. Kuala Lumpur,Dysentry ,7,0.39
2013,W.P. Kuala Lumpur,Food poisoning,446,24.58
2013,W.P. Kuala Lumpur,Hepatitis A,5,0.28
2013,W.P. Kuala Lumpur,Hepatitis B,223,12.29
2013,W.P. Kuala Lumpur,Hepatitis C,60,3.31
2013,W.P. Kuala Lumpur,Leprosy,17,0.94
2013,W.P. Kuala Lumpur,Measles,22,1.21
2013,W.P. Kuala Lumpur,Neonatal Tetanus ,,
2013,W.P. Kuala Lumpur,Other Specified Viral,7,0.39
2013,W.P. Kuala Lumpur,Other Tetanus,1,0.06
2013,W.P. Kuala Lumpur,Tuberculosis,1749,96.39
2013,W.P. Kuala Lumpur,Typhoid,7,0.39
2013,W.P. Kuala Lumpur,Viral encephalitis,,
2013,W.P. Kuala Lumpur,Whooping cough,9,0.5
2013,W.P. Labuan,Cholera,,
2013,W.P. Labuan,Dengue fever,12,12.86
2013,W.P. Labuan,Dengue haemorrhagic fever,2,2.14
2013,W.P. Labuan,Dysentry ,,
2013,W.P. Labuan,Food poisoning,,
2013,W.P. Labuan,Hepatitis A,,
2013,W.P. Labuan,Hepatitis B,25,26.8
2013,W.P. Labuan,Hepatitis C,2,2.14
2013,W.P. Labuan,Leprosy,1,1.07
2013,W.P. Labuan,Measles,,
2013,W.P. Labuan,Neonatal Tetanus ,1,0.57
2013,W.P. Labuan,Other Specified Viral,,
2013,W.P. Labuan,Other Tetanus,,
2013,W.P. Labuan,Tuberculosis,99,106.11
2013,W.P. Labuan,Typhoid,4,4.29
2013,W.P. Labuan,Viral encephalitis,,
2013,W.P. Labuan,Whooping cough,,
2014,Johor,A.I.D.S,215,6.12
2014,Johor,Cholera,,
2014,Johor,Dengue fever,6278,178.59
2014,Johor,Dengue haemorrhagic fever,45,1.28
2014,Johor,Diphteria,,
2014,Johor,Dysentry ,1,0.03
2014,Johor,Food poisoning,2099,59.71
2014,Johor,Gonorrhoea,170,4.84
2014,Johor,H.I.V,392,11.15
2014,Johor,"Hand, Foot and Mouth Disease",2248,63.95
2014,Johor,Hepatitis A,5,0.14
2014,Johor,Hepatitis B,230,0.54
2014,Johor,Hepatitis C,139,3.95
2014,Johor,Leprosy,9,0.26
2014,Johor,Leptospirosis,387,11.01
2014,Johor,Malaria,42,1.19
2014,Johor,Measles,9,0.26
2014,Johor,Neonatal Tetanus ,,
2014,Johor,Other Specified Viral,,
2014,Johor,Other Tetanus,4,0.11
2014,Johor,Syphillis,133,3.78
2014,Johor,Tuberculosis,2290,65.14
2014,Johor,Typhoid,14,0.4
2014,Johor,Typhus,,
2014,Johor,Viral encephalitis,,
2014,Johor,Whooping cough,8,0.23
2014,Kedah,A.I.D.S,62,3.03
2014,Kedah,Cholera,,
2014,Kedah,Dengue fever,999,48.82
2014,Kedah,Dengue haemorrhagic fever,15,0.73
2014,Kedah,Diphteria,1,0.05
2014,Kedah,Dysentry ,10,0.49
2014,Kedah,Food poisoning,1214,59.33
2014,Kedah,Gonorrhoea,63,3.08
2014,Kedah,H.I.V,172,8.41
2014,Kedah,"Hand, Foot and Mouth Disease",976,47.7
2014,Kedah,Hepatitis A,3,0.15
2014,Kedah,Hepatitis B,74,3.62
2014,Kedah,Hepatitis C,232,11.34
2014,Kedah,Leprosy,12,0.59
2014,Kedah,Leptospirosis,699,34.16
2014,Kedah,Malaria,19,0.93
2014,Kedah,Measles,4,0.2
2014,Kedah,Neonatal Tetanus ,,
2014,Kedah,Other Specified Viral,1,0.05
2014,Kedah,Other Tetanus,1,0.05
2014,Kedah,Syphillis,57,2.79
2014,Kedah,Tuberculosis,1301,63.58
2014,Kedah,Typhoid,18,0.88
2014,Kedah,Typhus,,
2014,Kedah,Viral encephalitis,1,0.05
2014,Kedah,Whooping cough,77,3.76
2014,Kelantan,A.I.D.S,90,5.32
2014,Kelantan,Cholera,,
2014,Kelantan,Dengue fever,14419,852.24
2014,Kelantan,Dengue haemorrhagic fever,37,2.19
2014,Kelantan,Diphteria,,
2014,Kelantan,Dysentry ,,
2014,Kelantan,Food poisoning,424,25.06
2014,Kelantan,Gonorrhoea,28,1.65
2014,Kelantan,H.I.V,227,13.42
2014,Kelantan,"Hand, Foot and Mouth Disease",668,39.48
2014,Kelantan,Hepatitis A,1,0.06
2014,Kelantan,Hepatitis B,129,7.62
2014,Kelantan,Hepatitis C,195,11.53
2014,Kelantan,Leprosy,12,0.71
2014,Kelantan,Leptospirosis,1030,60.88
2014,Kelantan,Malaria,129,7.62
2014,Kelantan,Measles,22,1.3
2014,Kelantan,Neonatal Tetanus ,,
2014,Kelantan,Other Specified Viral,16,0.95
2014,Kelantan,Other Tetanus,,
2014,Kelantan,Syphillis,29,1.71
2014,Kelantan,Tuberculosis,1366,80.74
2014,Kelantan,Typhoid,35,2.07
2014,Kelantan,Typhus,,
2014,Kelantan,Viral encephalitis,1,0.06
2014,Kelantan,Whooping cough,15,0.89
2014,Malaysia,A.I.D.S,1149,3.82
2014,Malaysia,Cholera,134,0.45
2014,Malaysia,Dengue fever,107597,357.49
2014,Malaysia,Dengue haemorrhagic fever,1101,3.66
2014,Malaysia,Diphteria,2,0.01
2014,Malaysia,Dysentry ,80,0.27
2014,Malaysia,Food poisoning,17651,58.65
2014,Malaysia,Gonorrhoea,1769,5.88
2014,Malaysia,H.I.V,3517,11.69
2014,Malaysia,"Hand, Foot and Mouth Disease",31322,104.07
2014,Malaysia,Hepatitis A,63,0.21
2014,Malaysia,Hepatitis B,3896,12.94
2014,Malaysia,Hepatitis C,2196,7.3
2014,Malaysia,Leprosy,308,1.02
2014,Malaysia,Leptospirosis,7806,25.94
2014,Malaysia,Malaria,3923,13.03
2014,Malaysia,Measles,221,0.73
2014,Malaysia,Neonatal Tetanus ,8,0.02
2014,Malaysia,Other Specified Viral,113,0.38
2014,Malaysia,Other Tetanus,14,0.05
2014,Malaysia,Syphillis,1689,5.61
2014,Malaysia,Tuberculosis,24711,82.1
2014,Malaysia,Typhoid,212,0.7
2014,Malaysia,Typhus,2,0.01
2014,Malaysia,Viral encephalitis,48,0.16
2014,Malaysia,Whooping cough,497,1.65
2014,Melaka,A.I.D.S,49,5.68
2014,Melaka,Cholera,,
2014,Melaka,Dengue fever,2722,315.59
2014,Melaka,Dengue haemorrhagic fever,48,5.57
2014,Melaka,Diphteria,,
2014,Melaka,Dysentry ,,
2014,Melaka,Food poisoning,441,51.13
2014,Melaka,Gonorrhoea,62,7.19
2014,Melaka,H.I.V,138,16
2014,Melaka,"Hand, Foot and Mouth Disease",792,91.83
2014,Melaka,Hepatitis A,,
2014,Melaka,Hepatitis B,137,15.88
2014,Melaka,Hepatitis C,228,26.43
2014,Melaka,Leprosy,3,0.35
2014,Melaka,Leptospirosis,141,16.35
2014,Melaka,Malaria,10,1.16
2014,Melaka,Measles,1,0.12
2014,Melaka,Neonatal Tetanus ,,
2014,Melaka,Other Specified Viral,,
2014,Melaka,Other Tetanus,,
2014,Melaka,Syphillis,41,4.75
2014,Melaka,Tuberculosis,659,76.41
2014,Melaka,Typhoid,1,0.12
2014,Melaka,Typhus,,
2014,Melaka,Viral encephalitis,1,0.012
2014,Melaka,Whooping cough,22,2.55
2014,Negeri Sembilan,A.I.D.S,47,4.34
2014,Negeri Sembilan,Cholera,,
2014,Negeri Sembilan,Dengue fever,3767,347.48
