State,Administrative district,Year,Hospital type,Hospital Category,Number of Hospital,Number of Bed
Johor,Batu Pahat,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,516
Johor,Batu Pahat,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Batu Pahat,2015,Non-MoH,,,
Johor,Batu Pahat,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,516
Johor,Batu Pahat,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Batu Pahat,2016,Non-MoH,,,
Johor,Batu Pahat,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,516
Johor,Batu Pahat,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Batu Pahat,2017,Non-MoH,,,
Johor,Batu Pahat,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Batu Pahat,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Batu Pahat,2018,Non-MoH,,,
Johor,Johor Bahru,2015,"Ministry of Health, Malaysia (MoH)",Hospital,2,1693
Johor,Johor Bahru,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,1132
Johor,Johor Bahru,2015,Non-MoH,,,
Johor,Johor Bahru,2016,"Ministry of Health, Malaysia (MoH)",Hospital,2,1910
Johor,Johor Bahru,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,1132
Johor,Johor Bahru,2016,Non-MoH,,,
Johor,Johor Bahru,2017,"Ministry of Health, Malaysia (MoH)",Hospital,2,1910
Johor,Johor Bahru,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,1,1132
Johor,Johor Bahru,2017,Non-MoH,,,
Johor,Johor Bahru,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Johor Bahru,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Johor Bahru,2018,Non-MoH,,,
Johor,Kluang,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,268
Johor,Kluang,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kluang,2015,Non-MoH,,,
Johor,Kluang,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,268
Johor,Kluang,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kluang,2016,Non-MoH,,,
Johor,Kluang,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,268
Johor,Kluang,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kluang,2017,Non-MoH,,,
Johor,Kluang,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Kluang,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kluang,2018,Non-MoH,,,
Johor,Kota Tinggi,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,158
Johor,Kota Tinggi,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kota Tinggi,2015,Non-MoH,,,
Johor,Kota Tinggi,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,158
Johor,Kota Tinggi,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kota Tinggi,2016,Non-MoH,,,
Johor,Kota Tinggi,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,158
Johor,Kota Tinggi,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kota Tinggi,2017,Non-MoH,,,
Johor,Kota Tinggi,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Kota Tinggi,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kota Tinggi,2018,Non-MoH,,,
Johor,Kulaijaya,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Johor,Kulaijaya,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kulaijaya,2015,Non-MoH,,,
Johor,Kulaijaya,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Johor,Kulaijaya,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kulaijaya,2016,Non-MoH,,,
Johor,Kulaijaya,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,93
Johor,Kulaijaya,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kulaijaya,2017,Non-MoH,,,
Johor,Kulaijaya,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Kulaijaya,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Kulaijaya,2018,Non-MoH,,,
Johor,Ledang,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,69
Johor,Ledang,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Ledang,2015,Non-MoH,,,
Johor,Ledang,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,69
Johor,Ledang,2016,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Ledang,2016,Non-MoH,,,
Johor,Ledang,2017,"Ministry of Health, Malaysia (MoH)",Hospital,1,69
Johor,Ledang,2017,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Ledang,2017,Non-MoH,,,
Johor,Ledang,2018,"Ministry of Health, Malaysia (MoH)",Hospital,,
Johor,Ledang,2018,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Ledang,2018,Non-MoH,,,
Johor,Mersing,2015,"Ministry of Health, Malaysia (MoH)",Hospital,1,55
Johor,Mersing,2015,"Ministry of Health, Malaysia (MoH)",Special medical institution,,
Johor,Mersing,2015,Non-MoH,,,
Johor,Mersing,2016,"Ministry of Health, Malaysia (MoH)",Hospital,1,55
